"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"567","NODE_113_length_5419_cov_4846.7_g109_i0",0.960487289395962,1,0.0806290603625444,1.35773200528743,2,5.67164273384692,0.123430182298857,0.060150393254989,0.063279789043868,0.039207848364384,0.063279789043868
"568","NODE_1131_length_1107_cov_4933.76_g1018_i0",0.606548587536742,1,0.999940884903767,1.45622483912776,2,5.04392088280428,0.132384076284342,0.0914474979305824,0.040936578353759,0.099823895560536,0.099823895560536
"569","NODE_1131_length_1248_cov_285.535_g1020_i0",0.0282039189337549,1,7.13658868282263,33.8295113437429,2,0.975570885890875,3.07541012215844,0.968941243842087,2.10646887831636,1.33841703798862,2.10646887831636
"570","NODE_1131_length_932_cov_61.236_g1053_i0",0.252495480217797,1,2.75272386110894,68.994102644852,2,1.62769240415918,6.272191149532,2.44936191451801,3.82282923501398,1.70121069166851,3.82282923501398
"571","NODE_1132_length_1105_cov_4938.93_g1019_i0",0.595408764127352,1,1.03701422155722,1.27285951095271,2,5.22891847201717,0.115714500995701,0.113803749537146,0.00191075145855515,0.0738511256573169,0.0738511256573169
"572","NODE_1132_length_1146_cov_143.527_g804_i1",0.582888569766598,1,1.0795184867512,13.7183707649898,2,1.45802695667187,1.24712461499907,0.707519078467451,0.539605536531618,1.62723972413913,1.62723972413913
"573","NODE_1132_length_883_cov_6.90821_g1048_i0",0.119703935604727,1,4.24546757611078,37.8572543518518,2,1.37732587233486,3.44156857744108,1.00230456788922,2.43926400955185,1.58587503722261,2.43926400955185
"574","NODE_1133_length_1012_cov_39.4107_g1036_i0",0.35244945061721,1,2.08569613903461,39.2281733507206,2,2.11823717980623,3.56619757733823,2.23390490773303,1.3322926696052,1.80206868344083,1.80206868344083
"575","NODE_1133_length_1082_cov_24.6436_g972_i0",0.339746712540307,1,2.15910980422317,29.9227226188685,2,2.43675960425389,2.72024751080623,2.53218835136992,0.188059159436309,1.78221400820481,1.78221400820481
"576","NODE_1133_length_1093_cov_32.8141_g1050_i0",0.25872269086857,1,2.70399696501898,60.5098054405723,2,1.78387255476611,5.50089140368839,1.57844621830502,3.92244518538337,1.75121960715431,3.92244518538337
"577","NODE_1133_length_1180_cov_11.3004_g989_i0",0.7077564278528,1,0.691310545872561,38.0589547711706,2,1.36455625190282,3.45990497919733,1.55661471592168,1.90329026327564,1.57902159330526,1.90329026327564
"578","NODE_1133_length_1256_cov_40.7177_g978_i0",0.174154927951569,1,3.49561997080771,37.1002278025957,2,3.1232187018623,3.37274798205415,0.721092889010177,2.65165509304398,1.33175889155897,2.65165509304398
"579","NODE_1133_length_870_cov_16.0294_g1027_i0",0.746484898606742,1,0.584759783606607,29.5517705760842,2,2.72785913390972,2.68652459782583,1.45312945740936,1.23339514041647,1.6607123410332,1.6607123410332
"580","NODE_1134_length_1012_cov_2.87565_g1037_i0",0.69486534862623,1,0.728074390343565,5.24277297831779,2,1.79271323331758,0.476615725301618,1.1911528297475,-0.714537104445882,1.75365457881204,1.75365457881204
"581","NODE_1134_length_1091_cov_158.07_g1051_i0",1,1,-0.548252175952662,1.14233466035481,2,4.23138028044044,0.103848605486801,0.146006438784589,-0.0421578332977882,0.348111402664689,0.348111402664689
"582","NODE_1135_length_1011_cov_52.4268_g1038_i0",0.49054156495384,1,1.42449052719979,18.7367006822166,2,1.95020706998158,1.70333642565605,1.43203220166412,0.271304223991933,1.78879314756744,1.78879314756744
"583","NODE_1135_length_1098_cov_7.08341_g1022_i0",0.563465938316314,1,1.14729678794582,14.5794789146662,2,1.3591109161318,1.32540717406057,1.31249825064052,0.0129089234200457,1.57607524592445,1.57607524592445
"584","NODE_1135_length_1144_cov_51.9522_g1039_i0",0.268422302868693,1,2.63038756340179,47.4578957567864,2,1.62611093442708,4.31435415970786,2.19666519497012,2.11768896473774,1.70061448829429,2.11768896473774
"585","NODE_1135_length_1250_cov_1709.14_g980_i0",0.527785880722456,1,1.27812921291943,0.394280763811523,2,6.04745663118861,0.0358437058010475,0.0380051182432249,-0.00216141244217735,0.0249902663635112,0.0249902663635112
"586","NODE_1135_length_882_cov_8.70254_g1051_i0",0.118228396449883,1,4.27027392434113,29.0718600665807,2,1.94383470884888,2.64289636968916,1.06394609086986,1.5789502788193,1.78773353020122,1.78773353020122
"587","NODE_1136_length_1011_cov_10.9979_g1039_i0",0.0852137920055938,1,4.92518396049554,30.3540742168858,2,1.16894493586821,2.75946129244416,0.960642723405417,1.79881856903874,1.46530318370778,1.79881856903874
"588","NODE_1136_length_1090_cov_637.812_g1053_i0",0.283200771771716,1,2.52319838396735,20.5118450091116,2,1.12345048454864,1.86471318264651,1.10841076650831,0.756302416138196,1.43666679984867,1.43666679984867
