Probe	BB001_A	BB001_B	BB003_A	BB003_B	BB004_A	BB004_B	BB005_A	BB005_B	BB006_A	BB006_B	BB007_A	BB007_B	BB008_A	BB008_B	BB009_A	BB009_B	BB010_A	BB010_B	BB012_A	BB012_B	BB013_A	BB013_B	BB015_A	BB015_B	BB017_A	BB017_B	BB018_A	BB018_B	BB019_A	BB019_B	BB020_A	BB020_B	BB401_A	BB401_B	BB402_A	BB402_B	BB403_A	BB403_B	BB404_A	BB404_B	BB405_A	BB405_B	BB406_A	BB406_B	BB407_A	BB407_B	BB408_A	BB408_B	BB409_A	BB409_B	BB410_A	BB410_B	BB411_A	BB411_B	BB412_A	BB412_B	BB413_A	BB413_B	BB414_A	BB414_B	BB415_A	BB415_B	BufferOnly_A	BufferOnly_B	BufferOnly_C	BufferOnly_D	BufferOnly_E	BufferOnly_F	BufferOnly_G	BufferOnly_H	BufferOnly_I	BufferOnly_J
NS30_000044	137	8	9	8	22	3	43	24	342	402	36	207	66	106	358	612	46	30	93	83	164	167	148	153	15	28	6	6	40	46	12	49	670	1954	796	709	92	58	54	40	33	33	449	639	33	46	69	46	99	137	80	88	105	107	71	85	23	25	1851	1611	50	13	42	19	46	15	77	68	80	80	196	145
NS30_000045	2	0	2	0	6	1	4	3	3	1	2	28	0	11	26	5	57	81	20	67	75	15	72	79	5	11	4	1	11	7	0	0	6	53	36	19	56	30	14	10	17	10	13	42	39	19	28	21	45	50	16	37	68	51	18	29	23	7	26	31	36	17	5	0	4	1	6	10	18	8	9	4
NS30_000046	3	0	7	2	7	2	16	15	8	7	11	20	29	20	18	24	582	1126	29	25	25	10	33	33	2	5	1	6	17	19	5	24	30	37	29	27	58	39	43	34	29	44	63	71	46	67	74	59	105	109	42	55	57	66	23	22	17	10	34	55	14	12	25	1	42	10	49	72	87	54	224	229
NS30_000047	9	0	2	0	17	3	30	25	13	8	9	26	26	7	334	546	11	14	36	44	0	74	37	56	32	30	0	2	10	47	6	0	25	34	36	40	35	22	47	16	18	11	31	39	122	130	46	32	33	59	39	55	100	62	8	17	10	1	35	24	17	6	34	8	14	15	28	28	39	62	80	53
NS30_000048	763	145	1813	794	783	276	304	365	686	592	48	179	301	246	695	1145	4525	5879	690	992	313	1324	171	178	50	36	77	326	18	39	81	47	248	633	5731	5990	314	176	494	565	677	673	455	583	557	509	150	125	86	88	132	136	2401	2602	3007	3096	1104	1989	86	102	620	490	28	14	37	10	43	43	45	57	90	20
NS30_000049	3107	500	827	528	67	23	910	1119	1170	1138	11	152	3962	3599	1360	2818	74	109	405	482	967	2015	1182	1322	3071	4720	299	723	115	119	484	540	1042	2163	2243	2013	9895	4516	3846	3258	1564	1558	1295	1745	1815	1878	219	175	8386	9463	2163	1952	112	85	1734	1484	1793	2481	16239	13570	41	10	3	10	12	4	25	15	15	20	18	42
NS30_000050	1045	220	7876	4141	4	2	82	102	61	101	8	46	1166	1125	84	74	27	57	13	15	35	343	123	224	155	242	42	119	10	20	11	3	18	42	881	626	4132	1969	28	16	543	522	26	34	1293	1177	492	426	218	225	25	40	2349	2724	1071	1165	980	1316	339	256	35	11	10	1	15	5	23	13	19	22	43	25
NS30_000051	154	14	215	143	49	12	100	127	345	515	16	41	93	25	51	45	44	7	32	50	87	6	62	90	46	7	13	4	14	15	24	13	808	2278	34	49	84	37	38	23	28	29	208	338	25	32	57	35	60	62	628	535	272	286	86	87	49	31	40	45	45	24	19	1	22	12	31	22	22	31	68	102
NS30_000052	1	6	1	0	3	1	310	355	0	3	8	35	11	19	14	0	36	32	19	27	0	0	27	73	13	23	0	4	263	294	0	13	78	122	1404	1117	103	61	22	13	20	16	73	58	26	20	111	86	50	45	35	57	63	65	28	33	15	7	210	166	62	28	8	2	9	11	15	22	22	19	54	12
NS30_000053	2961	265	2439	1091	3639	1053	3373	4554	24	17	26	76	37	34	51	55	85	16	68	29	125	185	352	319	2131	3429	12	5	665	1196	18	14	1169	2511	4757	4833	155	66	2794	2454	1073	1021	76	88	1716	1608	5339	4564	326	386	61	83	4418	4930	16	31	2085	3179	11745	11689	51	18	18	10	37	12	57	64	110	52	190	157
NS30_000054	930	143	30	21	187	62	319	279	14	17	48	96	93	45	69	89	43	58	93	146	0	124	299	459	140	121	5	11	23	61	795	2418	1184	2224	1307	1077	180	120	152	150	172	163	212	222	106	109	6238	5634	1837	2270	237	244	360	357	40	56	57	69	220	188	1117	765	231	42	281	91	340	346	364	408	751	778
NS30_000055	201	81	69	27	233	106	70	117	900	648	25	132	21	61	65	126	20	11	164	195	222	652	2012	2561	294	337	11	20	478	529	109	701	11	33	8805	12125	2576	1272	12	12	443	387	1596	2248	1086	1060	5839	5325	2253	2772	179	180	780	761	226	201	45	18	36	35	439	263	4	0	13	3	9	6	6	12	21	27
NS30_000056	90	38	5	8	380	158	20	5	107	128	5	36	10	16	39	9	16	17	45	16	191	203	30	24	7	10	0	6	3	34	0	47	815	1755	4791	3671	3635	1808	74	61	1175	1231	2530	2978	2076	1824	4888	4701	1617	2001	2631	2424	45	64	1753	2090	18	11	12376	10403	1093	770	24	2	5	13	41	34	39	40	41	75
NS30_000057	10	14	8	6	31	4	13	22	22	35	51	335	75	197	102	217	68	0	97	29	90	69	24	51	163	415	14	12	15	41	0	91	64	157	2433	1872	133	76	106	136	80	74	60	144	48	95	159	125	173	203	144	205	223	202	906	872	184	226	128	126	76	50	84	8	136	42	261	211	193	203	373	524
